,Date,Ticker,Stock Price,Revenue,EPS,PE,PS,Shares Outstanding,Market Cap
0,2008-12-31,MMM,53.79,25269000000,4.95,10.866823699421964,1.4879579722189242,699000000,37599210000.0
1,2009-12-31,MMM,80.49,23123000000,2.04,17.36837237977805,2.436664792630714,700500000,56343000000.0
2,2010-12-31,MMM,87.44,26662000000,5.72,15.276848959608321,2.340631910584352,713700000,62405928000.0
3,2011-12-31,MMM,87.34,29611000000,6.05,14.447908008405324,2.089777109857823,708500000,61880390000.0
4,2012-12-31,MMM,100.8,29904000000,6.4,15.739225922592258,2.3389887640449434,693900000,69945120000.0
5,2013-12-31,MMM,128.05,30871000000,6.83,18.741638763683195,2.828456966084675,681900000,87317295000.00002
6,2014-12-31,MMM,162.3,31821000000,7.63,21.260121065375305,3.311183180918262,649200000,105365160000.0
7,2015-12-31,MMM,151.0,30274000000,7.72,19.545954893440925,3.1203540992270598,625600000,94465600000.0
8,2016-12-31,MMM,175.42,30109000000,8.35,21.00524237623762,3.523081935633863,604700000,106076474000.0
9,2017-12-31,MMM,251.54,31657000000,8.13,30.937659530671056,4.747611902580788,597500000,150295150000.0
10,2018-12-31,MMM,199.27,32765000000,9.09,21.923797906150686,3.579136120860675,588500000,117270395000.0
11,2019-12-31,MMM,162.51,32136000000,7.92,20.518221006564552,2.917857542942494,577000000,93768270000.0
12,2008-09-27,AAPL,13.16,32479000000,5.48,2.400031179147704,0.35720775639644076,881592000,11601750720.0
13,2009-09-26,AAPL,28.93,36537000000,6.39,4.529269438990182,0.7070901519008128,893016000,25834952880.0
14,2010-09-25,AAPL,44.12,65225000000,15.41,2.8634424691358022,0.6151846580298965,909461000,40125419320.0
15,2011-09-24,AAPL,57.97,108249000000,28.05,2.0669406781884114,0.4949628750381066,924258000,53579236260.0
16,2012-09-29,AAPL,86.29,156508000000,44.64,1.9328935187980736,0.515407808035372,934818000,80665445220.0
17,2013-09-28,AAPL,75.7,170910000000,40.03,1.8912859221859222,0.4098505453162483,925331000,70047556700.0
18,2014-09-27,AAPL,105.11,182795000000,6.49,16.189685470007593,3.4992996138844057,6085572000,639654472920.0
19,2015-09-26,AAPL,115.28,233715000000,9.28,12.421889592088998,2.8378767853154483,5753421000,663254372880.0
20,2016-09-24,AAPL,117.65,215639000000,8.35,14.088076980322631,2.9848124550753807,5470820000,643641973000.0
21,2017-09-30,AAPL,166.72,229234000000,9.27,17.989671076916714,3.79445713218807,5217242000,869818586240.0
22,2018-09-29,AAPL,212.24,265595000000,12.01,17.66691663973392,3.95989839597884,4955377000,1051729214480.0
23,2019-09-28,AAPL,249.05,260174000000,11.97,20.81351450883162,4.420393881402446,4617834000,1150071557700.0
24,2008-12-31,BA,42.31,60909000000,3.68,5.820003748125937,0.5098678356236354,734000000,31055540000.0
25,2009-12-31,BA,60.6,68281000000,1.86,20.872383638928067,0.6501890716304682,732600000,44395560000.0
26,2010-12-31,BA,69.23,64306000000,4.49,8.922330352446082,0.7912799738749106,735000000,50884050000.0
27,2011-12-31,BA,74.16,68735000000,5.39,8.145011955719557,0.8028290681603258,744100000,55182456000.0
28,2012-12-31,BA,74.59,81698000000,5.15,0.021669445497031703,0.002099892286224877,758000000,171557000.0
29,2013-12-31,BA,126.53,86623000000,6.03,12.188831810104087,1.1085233367581357,758900000,96023617000.0
30,2014-12-31,BA,145.37,90762000000,7.47,11.981333484367921,1.1653688988783852,727600000,105771212000.0
31,2015-12-31,BA,120.13,96114000000,7.52,9.034081125465294,0.8585356659799821,686900000,82517297000.0
32,2016-12-31,BA,165.57,94571000000,7.7,16.859435186668804,1.1126004271922683,635500000,105219735000.0
33,2017-12-31,BA,337.71,93392000000,13.6,17.102654030427836,2.1786692114956314,602500000,203470275000.0
34,2018-12-31,BA,387.72,101127000000,18.05,17.61589457169752,2.220647542199413,579200000,224567424000.00003
35,2019-12-31,BA,323.3,76559000000,-1.12,-47.08753735188047,2.387620266722397,565400000,182793820000.0
36,2008-12-31,CAT,30.85,51324000000,5.83,,0.0003666608214480555,610000000,18818500.0
37,2009-12-31,CAT,52.24,32396000000,1.45,,0.0009917150265464872,615200000,32127600.0
38,2010-12-31,CAT,95.68,42588000000,4.28,22.37848888888889,1.4187545787545788,631500000,60421920000.00001
39,2011-12-31,CAT,110.41,60138000000,7.64,14.450984172077922,1.1841838770827098,645000000,71214450000.0
40,2012-12-31,CAT,98.65,65875000000,8.71,11.33233409610984,0.9772901707779886,652600000,64378990000.0
41,2013-12-31,CAT,93.2,55656000000,5.87,15.87031934547374,1.0804340951559581,645200000,60132640000.0
42,2014-12-31,CAT,79.97,55184000000,5.99,13.357911772665764,0.8944165700202957,617200000,49357484000.0
43,2015-12-31,CAT,62.24,47011000000,3.54,17.59716079923882,0.7868207866244071,594300000,36989232000.0
44,2016-12-31,CAT,96.79,38537000000,-0.11,-844.0954776119403,1.467535018294107,584300000,56554397000.0
45,2017-12-31,CAT,163.76,45462000000,1.27,128.53205305039785,2.1317400906251374,591800000,96913168000.0
46,2018-12-31,CAT,130.11,54722000000,10.39,12.51782235236701,1.4061447681005812,591400000,76947054000.00002
47,2019-12-31,CAT,135.37,53800000000,10.85,12.477234859675038,1.4130816356877323,561600000,76023792000.0
48,2008-12-31,CVX,70.52,273005000000,0.0,6.0403970682378505,0.5294875267485943,1954584000,144552742240.0
49,2009-12-31,CVX,72.12,171636000000,0.0,13.598767770519741,0.8369094127106202,1954584000,143643783960.0
50,2010-12-31,CVX,93.37,1093000000,0.0,9.514605978260871,166.57959743824338,1954584000,182071500000.0
51,2011-12-31,CVX,103.41,253706000000,0.0,7.466287766587677,0.7948156527634348,1954584000,201649500000.0
52,2012-12-31,CVX,116.45,241909000000,13.42,8.674032621566905,0.9386897552385401,1950000000,227077500000.0
53,2013-12-31,CVX,116.45,228848000000,11.18,10.420326284834056,0.975471273509054,1916000000,223234650000.0
54,2014-12-31,CVX,102.53,211970000000,10.21,10.039318122758694,0.9112917865735717,1883000000,193166520000.0
55,2015-12-31,CVX,86.47,138477000000,2.46,35.21385655112273,1.1664461246271944,1867000000,161525960000.0
56,2016-12-31,CVX,111.82,114472000000,-0.27,-421.40615694164984,1.8296077643441189,1872000000,209438860000.0
57,2017-12-31,CVX,125.23,141722000000,4.88,25.64525176726482,1.6638778030228194,1882000000,235808090000.0
58,2018-12-31,CVX,113.01,166339000000,7.81,14.469305180787913,1.289493023283776,1897000000,214492980000.0
59,2019-12-31,CVX,111.4,146516000000,1.55,71.7013679890561,1.4309345054465041,1882000000,209654800000.0
60,2008-07-26,CSCO,24.21,39540000000,1.35,17.998144560357677,3.6651760242792113,5986000000,144921060000.0
61,2009-07-25,CSCO,22.06,36117000000,1.05,20.959517443756113,3.5596998643298168,5828000000,128565680000.0
62,2010-07-31,CSCO,20.32,40040000000,1.36,14.996039654950431,2.908947052947053,5732000000,116474240000.0
63,2011-07-30,CSCO,15.74,43218000000,1.17,13.409315870570108,2.0136623629043457,5529000000,87026460000.0
64,2012-07-28,CSCO,19.36,46061000000,1.5,12.929138166894665,2.2570764855300576,5370000000,103963200000.0
65,2013-07-27,CSCO,23.83,48607000000,1.87,12.720632074526694,2.6125881045939883,5329000000,126990069999.99998
66,2014-07-26,CSCO,24.7,47142000000,1.5,16.4624729402776,2.742348648763311,5234000000,129279800000.0
67,2015-07-25,CSCO,25.19,49161000000,1.76,14.315751029952121,2.6152795915461446,5104000000,128569760000.0
68,2016-07-30,CSCO,31.58,49247000000,2.13,14.859273675388769,3.2402733161410846,5053000000,159573740000.0
69,2017-07-29,CSCO,31.54,48005000000,1.92,16.444520761785824,3.291644620352047,5010000000,158015400000.0
70,2018-07-28,CSCO,46.59,49330000000,0.02,2048.689363636364,4.568332252179201,4837000000,225355830000.00003
71,2019-07-27,CSCO,47.1,51904000000,2.63,17.910240082609068,4.0099973027127005,4419000000,208134900000.0
72,2008-12-31,XOM,76.48,477359000000,8.78,8.710706149243698,0.8251612142408544,5150341685,393898132068.80005
73,2009-12-31,XOM,64.43,310586000000,3.99,16.14786967372114,1.808112611782244,4720000000,561574463643.0
74,2010-12-31,XOM,78.99,383221000000,6.24,12.667962902166776,1.0069024140117582,4885000000,385866150000.0
75,2011-12-31,XOM,85.49,486429000000,8.43,10.139705309303457,0.8559035337120113,4870000000,416336300000.0
76,2012-12-31,XOM,90.67,482295000000,9.7,9.349838680926917,0.8700499901512561,4628000000,419620760000.0
77,2013-12-31,XOM,93.99,438255000000,7.37,12.748367403314916,0.9477172194270459,4419000000,415341810000.0
78,2014-12-31,XOM,87.42,411939000000,7.6,11.510837638376383,0.9087084252765579,4282000000,374332440000.0
79,2015-12-31,XOM,77.85,268882000000,3.85,20.2265386996904,1.2148771580098332,4196000000,326658600000.0
80,2016-12-31,XOM,84.86,226094000000,1.88,45.21176275510204,1.567755977602236,4177000000,354460220000.0
81,2017-12-31,XOM,86.78,244363000000,4.63,18.73849213597159,1.5114222693288264,4256000000,369335680000.0
82,2018-12-31,XOM,72.29,290212000000,4.88,14.811818618042228,1.0636303805493916,4270000000,308678300000.0
83,2019-12-31,XOM,64.79,264938000000,3.36,19.292419804741982,1.0442190248284506,4270000000,276653300000.0
84,2008-12-31,MCD,58.02,23522000000,1.625,15.147349872478554,2.7774219879261968,1126000000,65330520000.0
85,2009-12-31,MCD,62.43,22744000000,2.05,14.979907712590638,2.9974305311290887,1092200000,68173560000.0
86,2010-12-31,MCD,73.28,24074600000,4.64,15.792911873521623,3.2447675143096877,1066000000,78116480000.0
87,2011-12-31,MCD,98.69,27006000000,5.33,18.50919463575076,3.7716784788565505,1032100000,101857949000.0
88,2012-12-31,MCD,94.67,27567000000,5.41,17.49856664470795,3.4688637501360327,1010100000,95626167000.0
89,2013-12-31,MCD,93.8,28105700000,5.59,16.765412914660125,3.332061467958457,998400000,93649920000.0
90,2014-12-31,MCD,92.44,27441300000,4.85,19.05027954096431,3.3029564925859924,980500000,90637420000.0
91,2015-12-31,MCD,123.78,25413000000,4.82,25.67260547987548,4.575568882068233,939400000,116278932000.0
92,2016-12-31,MCD,123.02,24621900000,5.49,22.42788605569188,4.268894277046044,854400000,105108288000.0
93,2017-12-31,MCD,172.48,22820400000,6.43,26.820551971188102,6.1024500885172905,807400000,139260352000.0
94,2018-12-31,MCD,181.77,21025200000,7.61,23.876814813564472,6.727803492951316,778200000,141453414000.0
95,2019-12-31,MCD,216.18,21076500000,7.95,27.19919972118034,7.775771973525017,758100000,163886058000.0
96,2008-06-30,MSFT,26.23,60420000000,1.9,13.838212770770884,4.0495438596491224,9328000000,244673440000.0
97,2009-06-30,MSFT,23.81,58437000000,1.63,14.618741849131718,3.6446164245255575,8945000000,212980450000.0
98,2010-06-30,MSFT,25.81,62484000000,2.13,12.124921641791044,3.640348409192753,8813000000,227463530000.0
99,2011-06-30,MSFT,27.4,69943000000,2.73,10.048639308855291,3.3259368342793416,8490000000,232626000000.0
100,2012-06-30,MSFT,29.64,73723000000,2.02,14.657641653905053,3.3755739728442955,8396000000,248857440000.0
